WellID,Latitude(WGS84),Longitude(WGS84),Year,Month,InjectionRate(bbl/month)
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2018,1,43200
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2018,2,44100
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2018,3,44600
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2018,4,44800
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2018,5,44600
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2018,6,44200
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2018,7,43700
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2018,8,43000
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2018,9,42400
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2018,10,42000
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2018,11,26000
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2018,12,42200
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2019,1,46500
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2019,2,47200
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2019,3,48200
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2019,4,49200
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2019,5,50100
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2019,6,50600
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2019,7,50500
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2019,8,49800
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2019,9,48500
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2019,10,29300
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2019,11,46100
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2019,12,45700
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2020,1,49500
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2020,2,50900
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2020,3,53100
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2020,4,55400
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2020,5,57200
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2020,6,58000
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2020,7,57500
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2020,8,55700
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2020,9,33000
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2020,10,50800
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2020,11,49000
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2020,12,48500
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2021,1,53600
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2021,2,56400
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2021,3,59800
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2021,4,62900
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2021,5,64800
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2021,6,64800
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2021,7,63000
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2021,8,37100
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2021,9,56300
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2021,10,53400
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2021,11,51800
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2021,12,52000
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2022,1,59700
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2022,2,63600
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2022,3,67400
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2022,4,70200
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2022,5,71000
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2022,6,69600
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2022,7,41200
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2022,8,62500
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2022,9,58900
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2022,10,56500
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2022,11,56000
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2022,12,57500
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2023,1,62100
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2023,2,65700
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2023,3,68600
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2023,4,69900
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2023,5,69400
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2023,6,41600
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2023,7,63900
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2023,8,60600
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2023,9,58200
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2023,10,57100
DEMO_TX_INJ_REEVES_001,31.214000,-103.742000,2023,11,57700
