well_id,start_date,day,rate_bbl_day
SYN_SWD_01,2018-01-01,1.0,11200.0
SYN_SWD_01,2018-01-01,32.0,10800.0
SYN_SWD_01,2018-01-01,60.0,10400.0
SYN_SWD_01,2018-01-01,91.0,9800.0
SYN_SWD_01,2018-01-01,121.0,9400.0
SYN_SWD_01,2018-01-01,152.0,9000.0
SYN_SWD_01,2018-01-01,182.0,8800.0
SYN_SWD_01,2018-01-01,213.0,9000.0
SYN_SWD_01,2018-01-01,244.0,9600.0
SYN_SWD_01,2018-01-01,274.0,10200.0
SYN_SWD_01,2018-01-01,305.0,10800.0
SYN_SWD_01,2018-01-01,335.0,11000.0
SYN_SWD_01,2018-01-01,366.0,11200.0
SYN_SWD_01,2018-01-01,397.0,10800.0
SYN_SWD_01,2018-01-01,425.0,10400.0
SYN_SWD_01,2018-01-01,456.0,9800.0
SYN_SWD_01,2018-01-01,486.0,9400.0
SYN_SWD_01,2018-01-01,517.0,9000.0
SYN_SWD_01,2018-01-01,547.0,8800.0
SYN_SWD_01,2018-01-01,578.0,9000.0
SYN_SWD_01,2018-01-01,609.0,9600.0
SYN_SWD_01,2018-01-01,639.0,10200.0
SYN_SWD_01,2018-01-01,670.0,10800.0
SYN_SWD_01,2018-01-01,700.0,11000.0
SYN_SWD_01,2018-01-01,731.0,11200.0
SYN_SWD_01,2018-01-01,762.0,10800.0
SYN_SWD_01,2018-01-01,791.0,10400.0
SYN_SWD_01,2018-01-01,822.0,9800.0
SYN_SWD_01,2018-01-01,852.0,9400.0
SYN_SWD_01,2018-01-01,883.0,9000.0
SYN_SWD_01,2018-01-01,913.0,8800.0
SYN_SWD_01,2018-01-01,944.0,9000.0
SYN_SWD_01,2018-01-01,975.0,9600.0
SYN_SWD_01,2018-01-01,1005.0,10200.0
SYN_SWD_01,2018-01-01,1036.0,10800.0
SYN_SWD_01,2018-01-01,1066.0,11000.0
SYN_SWD_01,2018-01-01,1097.0,11200.0
SYN_SWD_01,2018-01-01,1128.0,10800.0
SYN_SWD_01,2018-01-01,1156.0,10400.0
SYN_SWD_01,2018-01-01,1187.0,9800.0
SYN_SWD_01,2018-01-01,1217.0,9400.0
SYN_SWD_01,2018-01-01,1248.0,9000.0
SYN_SWD_01,2018-01-01,1278.0,8800.0
SYN_SWD_01,2018-01-01,1309.0,9000.0
SYN_SWD_01,2018-01-01,1340.0,9600.0
SYN_SWD_01,2018-01-01,1370.0,10200.0
SYN_SWD_01,2018-01-01,1401.0,10800.0
SYN_SWD_01,2018-01-01,1431.0,11000.0
SYN_SWD_01,2018-01-01,1462.0,11200.0
SYN_SWD_01,2018-01-01,1493.0,10800.0
SYN_SWD_01,2018-01-01,1521.0,10400.0
SYN_SWD_01,2018-01-01,1552.0,9800.0
SYN_SWD_01,2018-01-01,1582.0,9400.0
SYN_SWD_01,2018-01-01,1613.0,9000.0
SYN_SWD_01,2018-01-01,1643.0,8800.0
SYN_SWD_01,2018-01-01,1674.0,9000.0
SYN_SWD_01,2018-01-01,1705.0,9600.0
SYN_SWD_01,2018-01-01,1735.0,10200.0
SYN_SWD_01,2018-01-01,1766.0,10800.0
SYN_SWD_01,2018-01-01,1796.0,11000.0
SYN_SWD_01,2018-01-01,1827.0,11200.0
SYN_SWD_01,2018-01-01,1858.0,10800.0
SYN_SWD_01,2018-01-01,1886.0,10400.0
SYN_SWD_01,2018-01-01,1917.0,9800.0
SYN_SWD_01,2018-01-01,1947.0,9400.0
SYN_SWD_01,2018-01-01,1978.0,9000.0
SYN_SWD_01,2018-01-01,2008.0,8800.0
SYN_SWD_01,2018-01-01,2039.0,9000.0
SYN_SWD_01,2018-01-01,2070.0,9600.0
SYN_SWD_01,2018-01-01,2100.0,10200.0
SYN_SWD_01,2018-01-01,2131.0,10800.0
SYN_SWD_01,2018-01-01,2161.0,11000.0
SYN_SWD_01,2018-01-01,2192.0,11200.0
SYN_SWD_01,2018-01-01,2223.0,10800.0
SYN_SWD_01,2018-01-01,2252.0,10400.0
SYN_SWD_01,2018-01-01,2283.0,9800.0
SYN_SWD_01,2018-01-01,2313.0,9400.0
SYN_SWD_01,2018-01-01,2344.0,9000.0
SYN_SWD_01,2018-01-01,2374.0,8800.0
SYN_SWD_01,2018-01-01,2405.0,9000.0
SYN_SWD_01,2018-01-01,2436.0,9600.0
SYN_SWD_01,2018-01-01,2466.0,10200.0
SYN_SWD_01,2018-01-01,2497.0,10800.0
SYN_SWD_01,2018-01-01,2527.0,11000.0
SYN_SWD_01,2018-01-01,2558.0,11200.0
SYN_SWD_01,2018-01-01,2589.0,10800.0
SYN_SWD_01,2018-01-01,2617.0,10400.0
SYN_SWD_01,2018-01-01,2648.0,9800.0
SYN_SWD_01,2018-01-01,2678.0,9400.0
SYN_SWD_01,2018-01-01,2709.0,9000.0
SYN_SWD_01,2018-01-01,2739.0,8800.0
SYN_SWD_01,2018-01-01,2770.0,9000.0
SYN_SWD_01,2018-01-01,2801.0,9600.0
SYN_SWD_01,2018-01-01,2831.0,10200.0
SYN_SWD_01,2018-01-01,2862.0,10800.0
SYN_SWD_01,2018-01-01,2892.0,11000.0
