UniqueID/Name,Easting (km),Northing (km),Year,Month (1-12),InjectionVolume (bbl/month)
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2018,1,347200.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2018,2,302400.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2018,3,322400.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2018,4,294000.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2018,5,291400.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2018,6,270000.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2018,7,272800.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2018,8,279000.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2018,9,288000.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2018,10,316200.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2018,11,324000.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2018,12,341000.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2019,1,347200.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2019,2,302400.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2019,3,322400.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2019,4,294000.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2019,5,291400.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2019,6,270000.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2019,7,272800.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2019,8,279000.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2019,9,288000.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2019,10,316200.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2019,11,324000.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2019,12,341000.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2020,1,347200.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2020,2,313200.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2020,3,322400.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2020,4,294000.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2020,5,291400.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2020,6,270000.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2020,7,272800.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2020,8,279000.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2020,9,288000.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2020,10,316200.0
